"url_a","url_b","page_type_a","page_type_b","jaccard_similarity_percent","words_a","words_b"
"https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--2026","https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--2347","job-listing","job-listing","95.88","267","267"
"https://www.searchsarkarinaukri.com/jobs/tifr-mumbai-tifr-mumbai-2026--1960","https://www.searchsarkarinaukri.com/jobs/tifr-mumbai-tifr-mumbai-2026--2064","job-listing","job-listing","95.88","247","247"
"https://www.searchsarkarinaukri.com/jobs/ahmednagar-merchant-co-op-bank-ltd-ahmednagar-merchant-co-op-bank-ltd-2026--2449","https://www.searchsarkarinaukri.com/jobs/ahmednagar-merchant-co-op-bank-ltd-ahmednagar-merchant-co-op-bank-ltd-2026--2549","job-listing","job-listing","95.85","249","249"
"https://www.searchsarkarinaukri.com/jobs/adivasi-vikas-vibhag-thane-adivasi-vikas-vibhag-thane-2026--4332","https://www.searchsarkarinaukri.com/jobs/adivasi-vikas-vibhag-thane-adivasi-vikas-vibhag-thane-2026--4482","job-listing","job-listing","95.83","239","239"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-pune","https://www.searchsarkarinaukri.com/engineering-jobs-in-pune","other","other","95.79","322","324"
"https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--1929","https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--1981","job-listing","job-listing","95.78","240","240"
"https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--1929","https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--2244","job-listing","job-listing","95.78","240","240"
"https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--1981","https://www.searchsarkarinaukri.com/jobs/iiser-pune-iiser-pune-2026--2244","job-listing","job-listing","95.78","240","240"
"https://www.searchsarkarinaukri.com/jobs/sndt-women-university-mumbai-sndt-women-university-mumbai-2026--1844","https://www.searchsarkarinaukri.com/jobs/sndt-women-university-mumbai-sndt-women-university-mumbai-2026--1995","job-listing","job-listing","95.78","239","239"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-rajasthan","https://www.searchsarkarinaukri.com/engineering-jobs-in-rajasthan","other","other","95.77","523","525"
"https://www.searchsarkarinaukri.com/jobs/neeri-nagpur-neeri-nagpur-2026--2495","https://www.searchsarkarinaukri.com/jobs/neeri-nagpur-neeri-nagpur-2026--3648","job-listing","job-listing","95.74","237","237"
"https://www.searchsarkarinaukri.com/jobs/secr-nagpur-secr-nagpur-2026--2705","https://www.searchsarkarinaukri.com/jobs/secr-nagpur-secr-nagpur-2026--3416","job-listing","job-listing","95.74","237","237"
"https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-washim-kendriya-vidyalaya-washim-2026--2557","https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-washim-kendriya-vidyalaya-washim-2026--3305","job-listing","job-listing","95.73","236","236"
"https://www.searchsarkarinaukri.com/jobs/nhm-latur-nhm-latur-2026--3660","https://www.searchsarkarinaukri.com/jobs/nhm-latur-nhm-latur-2026--3778","job-listing","job-listing","95.73","237","237"
"https://www.searchsarkarinaukri.com/jobs/staff-selection-commission-staff-selection-commission-2026--1751","https://www.searchsarkarinaukri.com/jobs/staff-selection-commission-staff-selection-commission-2026--2375","job-listing","job-listing","95.69","231","231"
"https://www.searchsarkarinaukri.com/jobs/ordnance-factory-chanda-ordnance-factory-chanda-2026--2020","https://www.searchsarkarinaukri.com/jobs/ordnance-factory-chanda-ordnance-factory-chanda-2026--2058","job-listing","job-listing","95.63","232","232"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-chandigarh","https://www.searchsarkarinaukri.com/engineering-jobs-in-chandigarh","other","other","95.61","502","504"
"https://www.searchsarkarinaukri.com/jobs/kadamba-transport-corporation-ltd-goa-kadamba-transport-corporation-ltd-goa-2026--2261","https://www.searchsarkarinaukri.com/jobs/kadamba-transport-corporation-ltd-goa-kadamba-transport-corporation-ltd-goa-2026--2804","job-listing","job-listing","95.59","232","232"
"https://www.searchsarkarinaukri.com/jobs/maharashtra-state-security-corporation-maharashtra-state-security-corporation-2026--4537","https://www.searchsarkarinaukri.com/jobs/maharashtra-state-security-corporation-maharashtra-state-security-corporation-2026--4582","job-listing","job-listing","95.56","229","229"
"https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--3470","https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--4020","job-listing","job-listing","95.56","227","227"
"https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--3470","https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--4136","job-listing","job-listing","95.56","227","227"
"https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--4020","https://www.searchsarkarinaukri.com/jobs/mpsc-group-c-mpsc-group-c-2026--4136","job-listing","job-listing","95.56","227","227"
"https://www.searchsarkarinaukri.com/jobs/avnl-avnl-2026--2259","https://www.searchsarkarinaukri.com/jobs/avnl-avnl-2026--3032","job-listing","job-listing","95.54","223","223"
"https://www.searchsarkarinaukri.com/jobs/central-bank-of-india-central-bank-of-india-2026--1910","https://www.searchsarkarinaukri.com/jobs/central-bank-of-india-central-bank-of-india-2026--2298","job-listing","job-listing","95.54","223","223"
"https://www.searchsarkarinaukri.com/jobs/ibps-po-ibps-po-2026--2604","https://www.searchsarkarinaukri.com/jobs/ibps-po-ibps-po-2026--3419","job-listing","job-listing","95.54","227","227"
"https://www.searchsarkarinaukri.com/jobs/ibps-so-ibps-so-2026--2605","https://www.searchsarkarinaukri.com/jobs/ibps-so-ibps-so-2026--3420","job-listing","job-listing","95.54","227","227"
"https://www.searchsarkarinaukri.com/jobs/iim-mumbai-iim-mumbai-2026--2060","https://www.searchsarkarinaukri.com/jobs/iim-mumbai-iim-mumbai-2026--2546","job-listing","job-listing","95.54","227","227"
"https://www.searchsarkarinaukri.com/jobs/indian-air-force-agniveer-indian-air-force-agniveer-2026--3164","https://www.searchsarkarinaukri.com/jobs/indian-air-force-agniveer-indian-air-force-agniveer-2026--3902","job-listing","job-listing","95.48","220","220"
"https://www.searchsarkarinaukri.com/jobs/icar-iari-icar-iari-2026--4659","https://www.searchsarkarinaukri.com/jobs/icar-iari-icar-iari-2026--4943","job-listing","job-listing","95.45","230","230"
"https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--2179","https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--2834","job-listing","job-listing","95.39","216","216"
"https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--3716","https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--4070","job-listing","job-listing","95.39","216","216"
"https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--3716","https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--4427","job-listing","job-listing","95.39","216","216"
"https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--4070","https://www.searchsarkarinaukri.com/jobs/ict-mumbai-ict-mumbai-2026--4427","job-listing","job-listing","95.39","216","216"
"https://www.searchsarkarinaukri.com/jobs/mazagon-dock-mazagon-dock-2026--1879","https://www.searchsarkarinaukri.com/jobs/mazagon-dock-mazagon-dock-2026--2615","job-listing","job-listing","95.37","215","215"
"https://www.searchsarkarinaukri.com/jobs/wcl-nagpur-wcl-nagpur-2026--2603","https://www.searchsarkarinaukri.com/jobs/wcl-nagpur-wcl-nagpur-2026--3270","job-listing","job-listing","95.37","238","238"
"https://www.searchsarkarinaukri.com/jobs/aiims-delhi-aiims-delhi-2026--2382","https://www.searchsarkarinaukri.com/jobs/aiims-delhi-aiims-delhi-2026--3210","job-listing","job-listing","95.33","218","218"
"https://www.searchsarkarinaukri.com/jobs/upsc-cds-upsc-cds-2026--1717","https://www.searchsarkarinaukri.com/jobs/upsc-cds-upsc-cds-2026--1827","job-listing","job-listing","95.33","218","218"
"https://www.searchsarkarinaukri.com/jobs/upsc-nda-upsc-nda-2026--1718","https://www.searchsarkarinaukri.com/jobs/upsc-nda-upsc-nda-2026--1828","job-listing","job-listing","95.33","218","218"
"https://www.searchsarkarinaukri.com/jobs/anganwadi-ahilyanagar-anganwadi-ahilyanagar-2026--2891","https://www.searchsarkarinaukri.com/jobs/anganwadi-ahilyanagar-anganwadi-ahilyanagar-2026--2932","job-listing","job-listing","95.31","212","212"
"https://www.searchsarkarinaukri.com/jobs/mpkv-mpkv-2026--3719","https://www.searchsarkarinaukri.com/jobs/mpkv-mpkv-2026--4578","job-listing","job-listing","95.31","215","215"
"https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--2788","https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--2924","job-listing","job-listing","95.26","215","215"
"https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--2788","https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--3517","job-listing","job-listing","95.26","215","215"
"https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--2924","https://www.searchsarkarinaukri.com/jobs/dbskkv-dbskkv-2026--3517","job-listing","job-listing","95.26","215","215"
"https://www.searchsarkarinaukri.com/jobs/indian-council-of-agricultural-research-research-assistant-2026--1371","https://www.searchsarkarinaukri.com/jobs/indian-council-of-agricultural-research-research-assistant-2026--1372","job-listing","job-listing","95.24","236","235"
"https://www.searchsarkarinaukri.com/jobs/iit-goa-iit-goa-2026--2984","https://www.searchsarkarinaukri.com/jobs/iit-goa-iit-goa-2026--3298","job-listing","job-listing","95.22","211","211"
"https://www.searchsarkarinaukri.com/jobs/kvs-ahilyanagar-kvs-ahilyanagar-2026--2795","https://www.searchsarkarinaukri.com/jobs/kvs-ahilyanagar-kvs-ahilyanagar-2026--3352","job-listing","job-listing","95.19","211","211"
"https://www.searchsarkarinaukri.com/jobs/ncra-pune-ncra-pune-2026--4149","https://www.searchsarkarinaukri.com/jobs/ncra-pune-ncra-pune-2026--4085","job-listing","job-listing","94.78","234","234"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-kolkata","https://www.searchsarkarinaukri.com/engineering-jobs-in-kolkata","other","other","94.30","251","253"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-bihar","https://www.searchsarkarinaukri.com/engineering-jobs-in-bihar","other","other","94.27","382","384"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-chemical-recruitment-2026-apply-online--4978","https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-mechanical-recruitment-2026-apply-online-for-6-posts--4977","job-listing","job-listing","94.19","305","305"
"https://www.searchsarkarinaukri.com/jobs/ministry-of-civil-aviation-ministry-of-civil-aviation-2026--2517","https://www.searchsarkarinaukri.com/jobs/ministry-of-civil-aviation-ministry-of-civil-aviation-2026--2747","job-listing","job-listing","93.97","241","241"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-odisha","https://www.searchsarkarinaukri.com/engineering-jobs-in-odisha","other","other","93.88","526","528"
"https://www.searchsarkarinaukri.com/jobs/krcl-krcl-2026--4018","https://www.searchsarkarinaukri.com/jobs/krcl-krcl-2026--4330","job-listing","job-listing","93.83","250","250"
"https://www.searchsarkarinaukri.com/jobs/krcl-krcl-2026--4330","https://www.searchsarkarinaukri.com/jobs/krcl-krcl-2026--4583","job-listing","job-listing","93.83","250","250"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-uttar-pradesh","https://www.searchsarkarinaukri.com/engineering-jobs-in-uttar-pradesh","other","other","93.57","370","372"
"https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--2026","https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--2502","job-listing","job-listing","93.55","267","267"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-haryana","https://www.searchsarkarinaukri.com/engineering-jobs-in-haryana","other","other","93.48","368","370"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-punjab","https://www.searchsarkarinaukri.com/engineering-jobs-in-punjab","other","other","93.48","368","370"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-nagpur","https://www.searchsarkarinaukri.com/engineering-jobs-in-nagpur","other","other","93.13","141","143"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-karnataka","https://www.searchsarkarinaukri.com/engineering-jobs-in-karnataka","other","other","93.08","201","203"
"https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--2715","https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--2794","job-listing","job-listing","93.08","310","310"
"https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--3255","https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--3589","job-listing","job-listing","93.08","310","310"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2264","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2313","job-listing","job-listing","93.03","357","357"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2264","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2652","job-listing","job-listing","93.03","357","357"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2313","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--2652","job-listing","job-listing","93.03","357","357"
"https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--3659","https://www.searchsarkarinaukri.com/jobs/all-india-institute-of-medical-sciences-nagpur-all-india-institute-of-medical-sciences-2026--4008","job-listing","job-listing","93.03","357","357"
"https://www.searchsarkarinaukri.com/engineer-jobs-in-nashik","https://www.searchsarkarinaukri.com/engineering-jobs-in-nashik","other","other","92.97","428","430"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--3076","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4155","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--3076","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4273","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4155","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4273","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--3076","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4674","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4155","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4674","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4273","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--4674","job-listing","job-listing","92.89","285","285"
"https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-bank-of-baroda-2026--2056","https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-bank-of-baroda-2026--2436","job-listing","job-listing","92.86","264","264"
"https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-bank-of-baroda-2026--2457","https://www.searchsarkarinaukri.com/jobs/bank-of-baroda-bank-of-baroda-2026--2507","job-listing","job-listing","92.86","264","264"
"https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--1883","https://www.searchsarkarinaukri.com/jobs/mumbai-port-trust-mumbai-port-trust-2026--2045","job-listing","job-listing","92.73","315","315"
"https://www.searchsarkarinaukri.com/jobs/moef-moef-2026--2504","https://www.searchsarkarinaukri.com/jobs/moef-moef-2026--2831","job-listing","job-listing","92.69","224","224"
"https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune-bharati-vidyapeeth-pune-2026--2037","https://www.searchsarkarinaukri.com/jobs/bharati-vidyapeeth-pune-bharati-vidyapeeth-pune-2026--3357","job-listing","job-listing","92.62","285","285"
"https://www.searchsarkarinaukri.com/admit-cards/20","https://www.searchsarkarinaukri.com/admit-cards/32","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/25","https://www.searchsarkarinaukri.com/admit-cards/32","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/19","https://www.searchsarkarinaukri.com/admit-cards/33","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/27","https://www.searchsarkarinaukri.com/admit-cards/33","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/22","https://www.searchsarkarinaukri.com/admit-cards/36","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/29","https://www.searchsarkarinaukri.com/admit-cards/36","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/20","https://www.searchsarkarinaukri.com/admit-cards/39","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/25","https://www.searchsarkarinaukri.com/admit-cards/39","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/22","https://www.searchsarkarinaukri.com/admit-cards/43","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/29","https://www.searchsarkarinaukri.com/admit-cards/43","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/19","https://www.searchsarkarinaukri.com/admit-cards/40","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/27","https://www.searchsarkarinaukri.com/admit-cards/40","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/19","https://www.searchsarkarinaukri.com/admit-cards/48","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/27","https://www.searchsarkarinaukri.com/admit-cards/48","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/22","https://www.searchsarkarinaukri.com/admit-cards/50","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/29","https://www.searchsarkarinaukri.com/admit-cards/50","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/22","https://www.searchsarkarinaukri.com/admit-cards/56","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/29","https://www.searchsarkarinaukri.com/admit-cards/56","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/22","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/29","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/36","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/43","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/50","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/56","https://www.searchsarkarinaukri.com/admit-cards/64","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/20","https://www.searchsarkarinaukri.com/admit-cards/76","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/25","https://www.searchsarkarinaukri.com/admit-cards/76","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/32","https://www.searchsarkarinaukri.com/admit-cards/76","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/39","https://www.searchsarkarinaukri.com/admit-cards/76","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/20","https://www.searchsarkarinaukri.com/admit-cards/82","admit-card","admit-card","92.54","139","139"
"https://www.searchsarkarinaukri.com/admit-cards/25","https://www.searchsarkarinaukri.com/admit-cards/82","admit-card","admit-card","92.54","139","139"
